video,start_sec,end_sec,start_frame,end_frame
IMG_4028.mp4,5.541666666666667,7.416666666666667,133,178
IMG_4028.mp4,9.666666666666666,11.083333333333334,232,266
IMG_4028.mp4,13.625,14.5,327,348
IMG_4028.mp4,16.833333333333332,17.5,404,420
IMG_4028.mp4,20.0,20.416666666666668,480,490
IMG_4028.mp4,22.458333333333332,24.875,539,597
IMG_4028.mp4,27.125,28.75,651,690
IMG_4028.mp4,30.708333333333332,31.458333333333332,737,755
IMG_4028.mp4,33.0,35.083333333333336,792,842
IMG_4028.mp4,36.916666666666664,37.416666666666664,886,898
IMG_4028.mp4,39.75,39.958333333333336,954,959
IMG_4028.mp4,43.166666666666664,43.458333333333336,1036,1043
IMG_4028.mp4,45.541666666666664,45.916666666666664,1093,1102
IMG_4028.mp4,47.75,48.125,1146,1155
IMG_4028.mp4,49.791666666666664,51.5,1195,1236
IMG_4028.mp4,54.0,54.708333333333336,1296,1313
IMG_4028.mp4,56.041666666666664,56.666666666666664,1345,1360
IMG_4028.mp4,58.875,59.666666666666664,1413,1432
IMG_4028.mp4,61.958333333333336,62.166666666666664,1487,1492
IMG_4028.mp4,65.125,65.66666666666667,1563,1576
IMG_4028.mp4,67.08333333333333,68.5,1610,1644
IMG_4028.mp4,70.16666666666667,70.75,1684,1698
IMG_4028.mp4,72.95833333333333,74.04166666666667,1751,1777
IMG_4028.mp4,76.41666666666667,76.625,1834,1839
IMG_4028.mp4,78.41666666666667,79.75,1882,1914
IMG_4028.mp4,81.75,82.5,1962,1980
IMG_4028.mp4,85.29166666666667,86.54166666666667,2047,2077
IMG_4028.mp4,88.41666666666667,89.83333333333333,2122,2156
IMG_4028.mp4,91.83333333333333,92.75,2204,2226
IMG_4028.mp4,94.33333333333333,95.25,2264,2286
IMG_4028.mp4,97.0,97.95833333333333,2328,2351
IMG_4028.mp4,99.79166666666667,100.70833333333333,2395,2417
IMG_4028.mp4,103.20833333333333,103.79166666666667,2477,2491
IMG_4028.mp4,105.20833333333333,106.29166666666667,2525,2551
IMG_4028.mp4,108.04166666666667,108.875,2593,2613
IMG_4028.mp4,111.41666666666667,113.25,2674,2718
IMG_4028.mp4,114.5,116.04166666666667,2748,2785
IMG_4028.mp4,117.08333333333333,117.66666666666667,2810,2824
IMG_4028.mp4,118.75,120.66666666666667,2850,2896
IMG_4029.mp4,9.958333333333334,10.208333333333334,239,245
IMG_4029.mp4,12.5,13.5,300,324
IMG_4029.mp4,15.791666666666666,17.25,379,414
IMG_4029.mp4,18.833333333333332,20.583333333333332,452,494
IMG_4029.mp4,23.75,24.291666666666668,570,583
IMG_4029.mp4,27.25,27.583333333333332,654,662
IMG_4029.mp4,30.541666666666668,30.875,733,741
IMG_4029.mp4,35.541666666666664,36.333333333333336,853,872
IMG_4029.mp4,39.458333333333336,41.583333333333336,947,998
IMG_4029.mp4,44.041666666666664,44.375,1057,1065
IMG_4029.mp4,47.0,49.875,1128,1197
IMG_4029.mp4,50.75,52.458333333333336,1218,1259
IMG_4029.mp4,53.541666666666664,56.416666666666664,1285,1354
IMG_4029.mp4,58.333333333333336,61.708333333333336,1400,1481
IMG_4029.mp4,66.45833333333333,67.45833333333333,1595,1619
IMG_4029.mp4,69.70833333333333,71.41666666666667,1673,1714
IMG_4029.mp4,75.33333333333333,75.625,1808,1815
IMG_4029.mp4,79.0,79.29166666666667,1896,1903
IMG_4029.mp4,81.5,84.08333333333333,1956,2018
IMG_4029.mp4,88.41666666666667,88.58333333333333,2122,2126
IMG_4029.mp4,92.20833333333333,92.41666666666667,2213,2218
IMG_4029.mp4,95.625,95.875,2295,2301
IMG_4029.mp4,98.54166666666667,99.125,2365,2379
IMG_4029.mp4,103.33333333333333,104.20833333333333,2480,2501
IMG_4029.mp4,109.5,110.20833333333333,2628,2645
IMG_4029.mp4,112.95833333333333,113.25,2711,2718
IMG_4029.mp4,116.16666666666667,116.625,2788,2799
IMG_4029.mp4,118.91666666666667,120.41666666666667,2854,2890
IMG_4029.mp4,123.5,124.16666666666667,2964,2980
IMG_4029.mp4,125.95833333333333,128.70833333333334,3023,3089
IMG_4029.mp4,131.79166666666666,132.04166666666666,3163,3169
IMG_4029.mp4,134.75,135.58333333333334,3234,3254
IMG_4029.mp4,145.41666666666666,145.875,3490,3501
IMG_4029.mp4,150.16666666666666,150.66666666666666,3604,3616
IMG_4029.mp4,155.375,155.875,3729,3741
IMG_4029.mp4,158.79166666666666,159.33333333333334,3811,3824
IMG_4029.mp4,164.54166666666666,165.25,3949,3966
IMG_4029.mp4,169.29166666666666,169.91666666666666,4063,4078
IMG_4029.mp4,173.83333333333334,174.33333333333334,4172,4184
IMG_4029.mp4,177.08333333333334,180.04166666666666,4250,4321
